City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Russell,US,2021-08-02 21:17:12,32.3502,-85.1999,89.2,61,75,10.36
68,Aripuana,BR,2021-08-02 21:21:14,-9.1667,-60.6333,92.91,25,9,3.09
69,Palana,RU,2021-08-02 21:21:14,59.1167,159.9667,46.15,86,70,11.61
70,Balakhta,RU,2021-08-02 21:21:14,55.38,91.6,57.54,88,56,2.26
71,Laguna,US,2021-08-02 21:21:15,38.421,-121.4238,99.43,22,1,4.0
72,Trelew,AR,2021-08-02 21:21:15,-43.249,-65.3051,63.99,23,37,10.16
73,Meulaboh,ID,2021-08-02 21:21:15,4.1363,96.1285,74.93,85,87,4.99
74,Dikson,RU,2021-08-02 21:21:15,73.5069,80.5464,50.4,78,94,10.83
75,Mataura,NZ,2021-08-02 21:21:16,-46.1927,168.8643,43.48,97,100,2.42
76,Aklavik,CA,2021-08-02 21:20:54,68.2191,-135.0107,64.4,77,90,6.91
77,Paamiut,GL,2021-08-02 21:21:16,61.994,-49.6678,45.23,89,100,4.34
78,Vaini,TO,2021-08-02 21:19:12,-21.2,-175.2,73.56,73,40,12.66
79,Bethel,US,2021-08-02 21:19:07,41.3712,-73.414,80.73,53,75,10.36
80,Esperance,AU,2021-08-02 21:20:00,-33.8667,121.9,51.98,83,100,10.63
81,Yulara,AU,2021-08-02 21:19:56,-25.2406,130.9889,35.44,69,0,6.91
82,Brigantine,US,2021-08-02 21:21:17,39.4101,-74.3646,83.32,50,1,9.22
83,Kenai,US,2021-08-02 21:20:48,60.5544,-151.2583,75.02,57,1,9.22
84,Kirakira,SB,2021-08-02 21:21:17,-10.4544,161.9205,75.97,78,98,9.42
85,Jutai,BR,2021-08-02 21:21:17,-5.1833,-68.9,91.2,32,3,3.15
86,Maryville,US,2021-08-02 21:16:55,35.7565,-83.9705,85.28,47,90,1.01
87,Atuona,PF,2021-08-02 21:18:54,-9.8,-139.0333,77.58,76,28,18.19
88,Vao,NC,2021-08-02 21:19:22,-22.6667,167.4833,66.43,67,0,6.8
89,Saint-Paul,RE,2021-08-02 21:21:18,-21.0096,55.2707,66.74,73,1,3.47
90,Amudat,UG,2021-08-02 21:21:18,1.95,34.95,70.0,70,93,0.94
91,Clyde River,CA,2021-08-02 21:21:01,70.4692,-68.5914,43.03,81,20,9.22
92,Hithadhoo,MV,2021-08-02 21:21:15,-0.6,73.0833,81.66,71,100,6.38
93,Kumluca,TR,2021-08-02 21:21:19,36.3703,30.2869,89.56,28,0,9.33
94,Norman Wells,CA,2021-08-02 21:18:30,65.282,-126.8329,82.44,39,1,5.75
95,Dzhebariki-Khaya,RU,2021-08-02 21:21:19,62.2167,135.8,62.83,65,100,1.41
96,Cizre,TR,2021-08-02 21:21:19,37.3272,42.1903,88.38,30,96,4.27
97,Dumai,ID,2021-08-02 21:21:20,1.6833,101.45,75.9,93,100,1.5
98,Fuling,CN,2021-08-02 21:21:20,29.7022,107.3919,79.11,79,6,2.93
99,Buin,CL,2021-08-02 21:21:20,-33.7333,-70.75,80.92,23,0,3.06
100,Ambilobe,MG,2021-08-02 21:21:20,-13.2,49.05,67.1,86,10,3.27
101,Juxtlahuaca,MX,2021-08-02 21:21:21,17.4294,-99.1467,82.08,71,84,4.21
102,Along,IN,2021-08-02 21:21:21,28.1667,94.7667,73.89,98,95,1.68
103,Cruzeiro Do Oeste,BR,2021-08-02 21:21:21,-23.785,-53.0733,63.64,52,0,4.52
104,Murdochville,CA,2021-08-02 21:21:22,48.9583,-65.5006,52.68,97,100,2.57
105,Moron,AR,2021-08-02 21:21:22,-34.6534,-58.6198,60.69,46,0,3.89
106,Mahmudabad,IN,2021-08-02 21:21:22,27.3,81.1167,80.56,88,13,8.08
107,Broome,US,2021-08-02 21:19:47,42.2506,-75.833,75.18,51,1,4.0
108,Tasiilaq,GL,2021-08-02 21:19:08,65.6145,-37.6368,46.56,83,100,2.8
